primary_cell_index,mutation_rate,area_reference,interaction_feedback,master_seed,replicate_index,calibration_seed,h1_resolution_supported,source_prepared,anchor_barrier,patch_count,patch_area,theoretical_k_fragment,theoretical_k_above_four,outcome_seed,projection_supported,final_interaction_mean,final_effective_size_mean,realised_high_trait_mass_mean,potential_high_trait_viable,realised_high_trait_persists,h_alpha,h_gamma
0,0.1,0.8,6.0,20260820,5,2042865396,True,True,1.5400480876065283,2,2.0,15.0,True,396146351,True,0.00011339642067643684,15.3,0.01923076923076923,False,True,0.41308640463932134,0.41591801298085723
0,0.1,0.8,6.0,20260820,5,2042865396,True,True,1.5400480876065283,3,1.3333333333333333,10.0,True,396146452,True,0.00011526958164120465,10.6,0.055555555555555546,False,True,0.37429596132855136,0.391644095572378
0,0.1,0.8,6.0,20260820,5,2042865396,True,True,1.5400480876065283,4,1.0,7.5,True,396146553,True,0.0001280245376108347,7.8,0.1153846153846154,False,True,0.41796875,0.4296875
0,0.1,0.8,6.0,20260820,5,2042865396,True,True,1.5400480876065283,6,0.6666666666666666,5.0,True,396146755,True,0.00011273757441771278,5.3999999999999995,0.2407407407407407,False,True,0.40771349862258954,0.4444444444444445
0,0.1,0.8,6.0,20260820,5,2042865396,True,True,1.5400480876065283,8,0.5,3.75,False,396146957,True,0.00011041123094971767,4.2,0.1964285714285714,False,True,0.3359375,0.451171875
0,0.1,0.8,6.0,20260820,5,2042865396,True,True,1.5400480876065283,12,0.3333333333333333,2.5,False,396147361,True,0.00010347310908255758,3.0,0.16666666666666666,False,True,0.2407407407407407,0.34567901234567905
0,0.1,0.8,6.0,20260820,5,2042865396,True,True,1.5400480876065283,16,0.25,1.875,False,396147765,True,0.00010362210541947545,2.3999999999999995,0.25,False,True,0.26,0.4296875
0,0.1,0.8,6.0,20260820,6,2042865497,False,False,,1,4.0,30.0,True,,,,,,,,,
0,0.1,0.8,6.0,20260820,6,2042865497,False,False,,2,2.0,15.0,True,,,,,,,,,
0,0.1,0.8,6.0,20260820,6,2042865497,False,False,,3,1.3333333333333333,10.0,True,,,,,,,,,
0,0.1,0.8,6.0,20260820,6,2042865497,False,False,,4,1.0,7.5,True,,,,,,,,,
0,0.1,0.8,6.0,20260820,6,2042865497,False,False,,6,0.6666666666666666,5.0,True,,,,,,,,,
0,0.1,0.8,6.0,20260820,6,2042865497,False,False,,8,0.5,3.75,False,,,,,,,,,
0,0.1,0.8,6.0,20260820,6,2042865497,False,False,,12,0.3333333333333333,2.5,False,,,,,,,,,
0,0.1,0.8,6.0,20260820,6,2042865497,False,False,,16,0.25,1.875,False,,,,,,,,,
0,0.1,0.8,6.0,20260820,7,2042865598,True,True,1.5400480876065283,1,4.0,30.0,True,598146856,True,0.9999865517994936,74.39999999999999,0.7016129032258067,True,True,0.4216026305121391,0.4216026305121391
0,0.1,0.8,6.0,20260820,7,2042865598,True,True,1.5400480876065283,2,2.0,15.0,True,598146957,True,0.0001098654181080741,15.3,0.03846153846153847,False,True,0.313309483812024,0.31590358378042294
0,0.1,0.8,6.0,20260820,7,2042865598,True,True,1.5400480876065283,3,1.3333333333333333,10.0,True,598147058,True,0.00012260751005842012,10.6,0.17320261437908493,False,True,0.4087790425697801,0.4613932783938286
0,0.1,0.8,6.0,20260820,7,2042865598,True,True,1.5400480876065283,4,1.0,7.5,True,598147159,True,0.00011991871101420426,8.1,0.07142857142857142,False,True,0.3521041586569268,0.3672584381125968
0,0.1,0.8,6.0,20260820,7,2042865598,True,True,1.5400480876065283,6,0.6666666666666666,5.0,True,598147361,True,0.00011171380039701942,5.3999999999999995,0.1481481481481481,False,True,0.44077134986225897,0.4628099173553719
0,0.1,0.8,6.0,20260820,7,2042865598,True,True,1.5400480876065283,8,0.5,3.75,False,598147563,True,0.00010171219333939192,4.2,0.0892857142857143,False,True,0.21484375,0.35888671875
0,0.1,0.8,6.0,20260820,7,2042865598,True,True,1.5400480876065283,12,0.3333333333333333,2.5,False,598147967,True,0.00010458952325994682,3.0,0.21666666666666667,False,True,0.3194444444444444,0.4131944444444444
0,0.1,0.8,6.0,20260820,7,2042865598,True,True,1.5400480876065283,16,0.25,1.875,False,598148371,True,0.0001041836535255262,2.3999999999999995,0.28125,False,True,0.3500000000000001,0.43875000000000003
0,0.1,0.8,6.0,20260820,8,2042865699,True,True,1.5400480876065283,1,4.0,30.0,True,699147159,True,0.9999834212592482,73.8,0.6585365853658536,True,True,0.46703798392987583,0.46703798392987583
0,0.1,0.8,6.0,20260820,8,2042865699,True,True,1.5400480876065283,2,2.0,15.0,True,699147260,True,0.00011980093090033107,15.6,0.0985185185185185,False,True,0.397235576923077,0.41252542529585806
0,0.1,0.8,6.0,20260820,8,2042865699,True,True,1.5400480876065283,3,1.3333333333333333,10.0,True,699147361,True,0.00012342221789664253,10.6,0.1481481481481481,False,True,0.31175113051613906,0.3222570309718761
0,0.1,0.8,6.0,20260820,8,2042865699,True,True,1.5400480876065283,4,1.0,7.5,True,699147462,True,0.0001189441843095417,7.95,0.14972527472527475,False,True,0.43300285222302015,0.43747119637386506
0,0.1,0.8,6.0,20260820,8,2042865699,True,True,1.5400480876065283,6,0.6666666666666666,5.0,True,699147664,True,0.00010709857425161057,5.3999999999999995,0.07407407407407406,False,True,0.4022038567493113,0.4338842975206612
0,0.1,0.8,6.0,20260820,8,2042865699,True,True,1.5400480876065283,8,0.5,3.75,False,699147866,True,0.00011282750163943619,4.2,0.28571428571428575,False,True,0.32421875,0.41748046875
0,0.1,0.8,6.0,20260820,8,2042865699,True,True,1.5400480876065283,12,0.3333333333333333,2.5,False,699148270,True,0.0001065751368500437,3.0,0.16666666666666666,False,True,0.27314814814814814,0.3607253086419754
0,0.1,0.8,6.0,20260820,8,2042865699,True,True,1.5400480876065283,16,0.25,1.875,False,699148674,True,0.00010359592181868505,2.3999999999999995,0.234375,False,True,0.32000000000000006,0.46875000000000006
0,0.1,0.8,6.0,20260820,9,2042865800,True,True,1.5400480876065283,1,4.0,30.0,True,800147462,True,0.9999432634721166,73.2,0.5573770491803278,True,True,0.46246950647401014,0.46246950647401014
0,0.1,0.8,6.0,20260820,9,2042865800,True,True,1.5400480876065283,2,2.0,15.0,True,800147563,True,0.00013951700679278118,15.6,0.21153846153846154,False,True,0.4557752341311134,0.4578563995837669
0,0.1,0.8,6.0,20260820,9,2042865800,True,True,1.5400480876065283,3,1.3333333333333333,10.0,True,800147664,True,0.0001336882856381471,10.799999999999999,0.22222222222222224,False,True,0.37190082644628086,0.396694214876033
0,0.1,0.8,6.0,20260820,9,2042865800,True,True,1.5400480876065283,4,1.0,7.5,True,800147765,True,0.00012504476203885754,7.8,0.11538461538461539,False,True,0.3515625,0.404296875
0,0.1,0.8,6.0,20260820,9,2042865800,True,True,1.5400480876065283,6,0.6666666666666666,5.0,True,800147967,True,0.00011589856533165511,5.3999999999999995,0.16666666666666666,False,True,0.3856749311294766,0.4628099173553719
0,0.1,0.8,6.0,20260820,9,2042865800,True,True,1.5400480876065283,8,0.5,3.75,False,800148169,True,0.00010761687002516847,4.2,0.1607142857142857,False,True,0.30859375,0.46044921875
0,0.1,0.8,6.0,20260820,9,2042865800,True,True,1.5400480876065283,12,0.3333333333333333,2.5,False,800148573,True,0.00010480852994922903,3.0,0.10000000000000002,False,True,0.31481481481481477,0.4243827160493827
0,0.1,0.8,6.0,20260820,9,2042865800,True,True,1.5400480876065283,16,0.25,1.875,False,800148977,True,0.00010082557051730301,2.3999999999999995,0.09375,False,True,0.32000000000000006,0.3621875
0,0.1,0.8,6.0,20260820,10,2042865901,True,True,1.5400480876065283,1,4.0,30.0,True,901147765,True,0.9999603766797612,73.2,0.6393442622950819,True,True,0.46960030024394817,0.46960030024394817
0,0.1,0.8,6.0,20260820,10,2042865901,True,True,1.5400480876065283,2,2.0,15.0,True,901147866,True,0.00013212630545783328,15.899999999999999,0.09401709401709402,False,True,0.3619775688772505,0.36275010934523116
0,0.1,0.8,6.0,20260820,10,2042865901,True,True,1.5400480876065283,3,1.3333333333333333,10.0,True,901147967,True,0.00011774752452130436,10.399999999999999,0.13616557734204793,False,True,0.28606722822631914,0.3304385147195462
0,0.1,0.8,6.0,20260820,10,2042865901,True,True,1.5400480876065283,4,1.0,7.5,True,901148068,True,0.00010953534068399604,7.8,0.09615384615384617,False,True,0.44921875,0.46875
0,0.1,0.8,6.0,20260820,10,2042865901,True,True,1.5400480876065283,6,0.6666666666666666,5.0,True,901148270,True,0.00011142427087153608,5.3999999999999995,0.16666666666666663,False,True,0.396694214876033,0.42240587695133147
0,0.1,0.8,6.0,20260820,10,2042865901,True,True,1.5400480876065283,8,0.5,3.75,False,901148472,True,0.00010871927822741996,4.2,0.14285714285714285,False,True,0.359375,0.404296875
0,0.1,0.8,6.0,20260820,10,2042865901,True,True,1.5400480876065283,12,0.3333333333333333,2.5,False,901148876,True,0.00010452316076257853,3.0,0.16666666666666666,False,True,0.26388888888888884,0.43479938271604934
0,0.1,0.8,6.0,20260820,10,2042865901,True,True,1.5400480876065283,16,0.25,1.875,False,901149280,True,0.00010536631479413642,2.3999999999999995,0.1875,False,True,0.3500000000000001,0.49875
0,0.1,0.8,6.0,20260820,11,2042866002,False,False,,1,4.0,30.0,True,,,,,,,,,
0,0.1,0.8,6.0,20260820,11,2042866002,False,False,,2,2.0,15.0,True,,,,,,,,,
0,0.1,0.8,6.0,20260820,11,2042866002,False,False,,3,1.3333333333333333,10.0,True,,,,,,,,,
0,0.1,0.8,6.0,20260820,11,2042866002,False,False,,4,1.0,7.5,True,,,,,,,,,
0,0.1,0.8,6.0,20260820,11,2042866002,False,False,,6,0.6666666666666666,5.0,True,,,,,,,,,
0,0.1,0.8,6.0,20260820,11,2042866002,False,False,,8,0.5,3.75,False,,,,,,,,,
0,0.1,0.8,6.0,20260820,11,2042866002,False,False,,12,0.3333333333333333,2.5,False,,,,,,,,,
0,0.1,0.8,6.0,20260820,11,2042866002,False,False,,16,0.25,1.875,False,,,,,,,,,
0,0.1,0.8,6.0,20260820,12,2042866103,False,False,,1,4.0,30.0,True,,,,,,,,,
0,0.1,0.8,6.0,20260820,12,2042866103,False,False,,2,2.0,15.0,True,,,,,,,,,
0,0.1,0.8,6.0,20260820,12,2042866103,False,False,,3,1.3333333333333333,10.0,True,,,,,,,,,
0,0.1,0.8,6.0,20260820,12,2042866103,False,False,,4,1.0,7.5,True,,,,,,,,,
0,0.1,0.8,6.0,20260820,12,2042866103,False,False,,6,0.6666666666666666,5.0,True,,,,,,,,,
0,0.1,0.8,6.0,20260820,12,2042866103,False,False,,8,0.5,3.75,False,,,,,,,,,
0,0.1,0.8,6.0,20260820,12,2042866103,False,False,,12,0.3333333333333333,2.5,False,,,,,,,,,
0,0.1,0.8,6.0,20260820,12,2042866103,False,False,,16,0.25,1.875,False,,,,,,,,,
0,0.1,0.8,6.0,20260820,13,2042866204,True,True,1.4662056328070303,1,4.0,30.0,True,1204148674,True,0.9999649768618717,73.2,0.639344262295082,True,True,0.4365734659410771,0.4365734659410771
0,0.1,0.8,6.0,20260820,13,2042866204,True,True,1.4662056328070303,2,2.0,15.0,True,1204148775,True,0.0002154824194674005,15.6,0.07692307692307693,False,True,0.449531737773153,0.4578563995837669
0,0.1,0.8,6.0,20260820,13,2042866204,True,True,1.4662056328070303,3,1.3333333333333333,10.0,True,1204148876,True,0.00018540105758000809,10.4,0.11328976034858389,False,True,0.39231961220597583,0.42352668529023424
0,0.1,0.8,6.0,20260820,13,2042866204,True,True,1.4662056328070303,4,1.0,7.5,True,1204148977,True,0.00017606020950859148,7.8,0.11538461538461539,False,True,0.40234375,0.4296875
0,0.1,0.8,6.0,20260820,13,2042866204,True,True,1.4662056328070303,6,0.6666666666666666,5.0,True,1204149179,True,0.00016145403009781086,5.3999999999999995,0.11111111111111109,False,True,0.3195592286501377,0.35123966942148754
0,0.1,0.8,6.0,20260820,13,2042866204,True,True,1.4662056328070303,8,0.5,3.75,False,1204149381,True,0.0001663642530171092,4.2,0.12500000000000003,False,True,0.32421875,0.44091796875
0,0.1,0.8,6.0,20260820,13,2042866204,True,True,1.4662056328070303,12,0.3333333333333333,2.5,False,1204149785,True,0.00015790137496449685,3.0,0.13333333333333333,False,True,0.2222222222222222,0.345679012345679
0,0.1,0.8,6.0,20260820,13,2042866204,True,True,1.4662056328070303,16,0.25,1.875,False,1204150189,True,0.0001624797687615119,2.3999999999999995,0.203125,False,True,0.24000000000000002,0.4621875000000001
0,0.1,0.8,6.0,20260820,14,2042866305,True,True,1.613890542406026,1,4.0,30.0,True,1305148977,True,0.9999338912801857,73.8,0.6260162601626016,True,True,0.4382761139517896,0.4382761139517896
0,0.1,0.8,6.0,20260820,14,2042866305,True,True,1.613890542406026,2,2.0,15.0,True,1305149078,True,8.676405075602416e-05,15.6,0.11259259259259262,False,True,0.3667200854700855,0.36685876890203817
0,0.1,0.8,6.0,20260820,14,2042866305,True,True,1.613890542406026,3,1.3333333333333333,10.0,True,1305149179,True,7.849079550327965e-05,10.6,0.11220043572984749,False,True,0.4360478715109933,0.46799506603626484
0,0.1,0.8,6.0,20260820,14,2042866305,True,True,1.613890542406026,4,1.0,7.5,True,1305149280,True,7.679623001997036e-05,7.8,0.19230769230769235,False,True,0.3828125,0.404296875
0,0.1,0.8,6.0,20260820,14,2042866305,True,True,1.613890542406026,6,0.6666666666666666,5.0,True,1305149482,True,6.896727487864755e-05,5.3999999999999995,0.16666666666666666,False,True,0.24793388429752064,0.2975206611570248
0,0.1,0.8,6.0,20260820,14,2042866305,True,True,1.613890542406026,8,0.5,3.75,False,1305149684,True,7.314294274865337e-05,4.2,0.23214285714285718,False,True,0.3125,0.4921875
0,0.1,0.8,6.0,20260820,14,2042866305,True,True,1.613890542406026,12,0.3333333333333333,2.5,False,1305150088,True,7.06477803900737e-05,3.0,0.2833333333333334,False,True,0.3611111111111111,0.47530864197530864
0,0.1,0.8,6.0,20260820,14,2042866305,True,True,1.613890542406026,16,0.25,1.875,False,1305150492,True,6.841882992621574e-05,2.3999999999999995,0.265625,False,True,0.22,0.49718750000000006
0,0.1,0.8,6.0,20260820,15,2042866406,True,True,1.613890542406026,1,4.0,30.0,True,1406149280,True,0.9999226092371332,73.8,0.6341463414634146,True,True,0.44293279766252736,0.44293279766252736
0,0.1,0.8,6.0,20260820,15,2042866406,True,True,1.613890542406026,2,2.0,15.0,True,1406149381,True,7.496238844839338e-05,15.6,0.05769230769230768,False,True,0.3808532778355879,0.3829344432882414
0,0.1,0.8,6.0,20260820,15,2042866406,True,True,1.613890542406026,3,1.3333333333333333,10.0,True,1406149482,True,7.646583077651981e-05,10.4,0.11220043572984746,False,True,0.40212650985378257,0.4112410753582082
0,0.1,0.8,6.0,20260820,15,2042866406,True,True,1.613890542406026,4,1.0,7.5,True,1406149583,True,7.367385097146765e-05,7.949999999999999,0.09065934065934067,False,True,0.3256915314683032,0.38658041464287435
0,0.1,0.8,6.0,20260820,15,2042866406,True,True,1.613890542406026,6,0.6666666666666666,5.0,True,1406149785,True,6.829455450730485e-05,5.3999999999999995,0.07407407407407407,False,True,0.34710743801652894,0.4100091827364554
0,0.1,0.8,6.0,20260820,15,2042866406,True,True,1.613890542406026,8,0.5,3.75,False,1406149987,True,7.770206401334026e-05,4.275,0.34598214285714285,False,True,0.3020394736842106,0.47174476762080636
0,0.1,0.8,6.0,20260820,15,2042866406,True,True,1.613890542406026,12,0.3333333333333333,2.5,False,1406150391,True,6.448514359818197e-05,3.0,0.06666666666666667,False,True,0.27777777777777773,0.34567901234567905
0,0.1,0.8,6.0,20260820,15,2042866406,True,True,1.613890542406026,16,0.25,1.875,False,1406150795,True,6.552459886512294e-05,2.3999999999999995,0.078125,False,True,0.15000000000000002,0.4471875
0,0.1,0.8,6.0,20260820,16,2042866507,True,True,1.5400480876065283,1,4.0,30.0,True,1507149583,True,0.999951067568167,72.6,0.5537190082644629,True,True,0.49141498216409035,0.49141498216409035
