patch_count,attempted_sources,source_prepared,projection_supported,theoretical_k_fragment_min,theoretical_k_fragment_median,theoretical_k_fragment_max,all_three_below_one_patch_probability,final_interaction_mean_ratio_to_n1_median,final_interaction_mean_ratio_to_n1_q1,final_interaction_mean_ratio_to_n1_q3,final_interaction_mean_reduction_from_n1_median,final_interaction_mean_reduction_from_n1_q1,final_interaction_mean_reduction_from_n1_q3,final_interaction_mean_paired_n,final_effective_size_mean_ratio_to_n1_median,final_effective_size_mean_ratio_to_n1_q1,final_effective_size_mean_ratio_to_n1_q3,final_effective_size_mean_reduction_from_n1_median,final_effective_size_mean_reduction_from_n1_q1,final_effective_size_mean_reduction_from_n1_q3,final_effective_size_mean_paired_n,realised_high_trait_mass_mean_ratio_to_n1_median,realised_high_trait_mass_mean_ratio_to_n1_q1,realised_high_trait_mass_mean_ratio_to_n1_q3,realised_high_trait_mass_mean_reduction_from_n1_median,realised_high_trait_mass_mean_reduction_from_n1_q1,realised_high_trait_mass_mean_reduction_from_n1_q3,realised_high_trait_mass_mean_paired_n
1,1200,1037,1037,15.0,22.5,30.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1037,1.0,1.0,1.0,0.0,0.0,0.0,1037,1.0,1.0,1.0,0.0,0.0,0.0,1037
2,1200,1037,1037,7.5,11.25,15.0,1.0,0.0017444307534129745,0.0006614528852719406,0.008406682414658886,0.998255569246587,0.9915933175853411,0.999338547114728,1037,0.22131147540983603,0.21721311475409832,0.22499999999999998,0.778688524590164,0.775,0.7827868852459017,1037,0.28291808988011524,0.20006613756613756,0.3799839045469655,0.7170819101198848,0.6200160954530345,0.7999338624338624,1037
3,1200,1037,1037,5.0,7.5,10.0,1.0,0.0015393170753992978,0.0005506790905131652,0.0075546434623802025,0.9984606829246007,0.9924453565376198,0.9994493209094868,1037,0.1487603305785124,0.14722222222222223,0.15,0.8512396694214877,0.85,0.8527777777777777,1037,0.28480003112356045,0.2072862336020231,0.3755868544600939,0.7151999688764396,0.6244131455399061,0.7927137663979769,1037
4,1200,1037,1037,3.75,5.625,7.5,1.0,0.001446627790951059,0.0005009842000290291,0.007183919991577308,0.9985533722090489,0.9928160800084227,0.999499015799971,1037,0.11270491803278689,0.10975609756097561,0.11458333333333333,0.8872950819672131,0.8854166666666666,0.8902439024390244,1037,0.30180017351069993,0.22188203362902162,0.384784735812133,0.6981998264893001,0.615215264187867,0.7781179663709784,1037
6,1200,1037,1037,2.5,3.75,5.0,1.0,0.0013392531012702026,0.00048241043537685166,0.006746413776470823,0.9986607468987297,0.9932535862235292,0.9995175895646231,1037,0.0743801652892562,0.07377049180327867,0.075,0.9256198347107438,0.925,0.9262295081967213,1037,0.3210526315789473,0.23066448801742914,0.41396735718769606,0.6789473684210527,0.5860326428123039,0.7693355119825709,1037
8,1200,1037,1037,1.875,2.8125,3.75,0.9990356798457087,0.0013031683499388884,0.00048514844374074296,0.00653232941643528,0.9986968316500611,0.9934676705835647,0.9995148515562593,1037,0.057851239669421496,0.05737704918032787,0.057851239669421496,0.9421487603305785,0.9421487603305785,0.9426229508196722,1037,0.32142857142857145,0.22916666666666669,0.42911255411255406,0.6785714285714286,0.570887445887446,0.7708333333333333,1037
12,1200,1037,1037,1.25,1.875,2.5,1.0,0.0012604450424742468,0.00046930928554368283,0.00639176761132358,0.9987395549575258,0.9936082323886765,0.9995306907144563,1037,0.04132231404958678,0.040983606557377046,0.04132231404958678,0.9586776859504132,0.9586776859504132,0.9590163934426229,1037,0.34329004329004337,0.26236559139784943,0.4178082191780823,0.6567099567099566,0.5821917808219177,0.7376344086021506,1037
16,1200,1037,1037,0.9375,1.40625,1.875,1.0,0.0012440085611615528,0.00046509138395771506,0.006329484014150056,0.9987559914388384,0.99367051598585,0.9995349086160423,1037,0.033057851239669415,0.032786885245901634,0.033057851239669415,0.9669421487603306,0.9669421487603306,0.9672131147540983,1037,0.39388020833333326,0.3241071428571429,0.48015873015873,0.6061197916666667,0.51984126984127,0.6758928571428571,1037
